Pick,Value,% of no. 1 pick
1,40,100.00%
2,40,86.71%
3,40,78.96%
4,40,73.53%
5,40,69.21%
6,40,65.78%
7,40,62.79%
8,40,60.24%
9,40,57.92%
10,40,55.92%
11,40,54.15%
12,40,52.49%
13,40,50.94%
14,40,49.50%
15,40,48.17%
16,40,46.95%
17,40,45.85%
18,40,44.74%
19,39.4,43.63%
20,38.5,42.64%
21,37.7,41.75%
22,36.9,40.86%
23,36.1,39.98%
24,35.4,39.20%
25,34.7,38.43%
26,34,37.65%
27,33.4,36.99%
28,32.7,36.21%
29,32.1,35.55%
30,31.5,34.88%
31,31,34.33%
32,30.4,33.67%
33,29.9,33.11%
34,29.4,32.56%
35,28.9,32.00%
36,28.4,31.45%
37,27.9,30.90%
38,27.4,30.34%
39,27,29.90%
40,26.6,29.46%
41,26.1,28.90%
42,25.7,28.46%
43,25.3,28.02%
44,24.9,27.57%
45,24.5,27.13%
46,24.1,26.69%
47,23.8,26.36%
48,23.4,25.91%
49,23.1,25.58%
50,22.7,25.14%
51,22.4,24.81%
52,22,24.36%
53,21.7,24.03%
54,21.4,23.70%
55,21.1,23.37%
56,20.7,22.92%
57,20.4,22.59%
58,20.1,22.26%
59,19.8,21.93%
60,19.6,21.71%
61,19.3,21.37%
62,19,21.04%
63,18.7,20.71%
64,18.4,20.38%
65,18.2,20.16%
66,17.9,19.82%
67,17.6,19.49%
68,17.4,19.27%
69,17.1,18.94%
70,16.9,18.72%
71,16.6,18.38%
72,16.4,18.16%
73,16.2,17.94%
74,15.9,17.61%
75,15.7,17.39%
76,15.5,17.17%
77,15.2,16.83%
78,15,16.61%
79,14.8,16.39%
80,14.6,16.17%
81,14.4,15.95%
82,14.2,15.73%
83,13.9,15.39%
84,13.7,15.17%
85,13.5,14.95%
86,13.3,14.73%
87,13.1,14.51%
88,12.9,14.29%
89,12.7,14.06%
90,12.5,13.84%
91,12.4,13.73%
92,12.2,13.51%
93,12,13.29%
94,11.8,13.07%
95,11.6,12.85%
96,11.4,12.62%
97,11.2,12.40%
98,11.1,12.29%
99,10.9,12.07%
100,10.7,11.85%
101,10.6,11.74%
102,10.4,11.52%
103,10.2,11.30%
104,10,11.07%
105,9.9,10.96%
106,9.7,10.74%
107,9.6,10.63%
108,9.4,10.41%
109,9.2,10.19%
110,9.1,10.08%
111,8.9,9.86%
112,8.8,9.75%
113,8.6,9.52%
114,8.5,9.41%
115,8.3,9.19%
116,8.2,9.08%
117,8,8.86%
118,7.9,8.75%
119,7.7,8.53%
120,7.6,8.42%
121,7.4,8.19%
122,7.3,8.08%
123,7.1,7.86%
124,7,7.75%
125,6.9,7.64%
126,6.7,7.42%
127,6.6,7.31%
128,6.5,7.20%
129,6.3,6.98%
130,6.2,6.87%
131,6.1,6.76%
132,5.9,6.53%
133,5.8,6.42%
134,5.7,6.31%
135,5.5,6.09%
136,5.4,5.98%
137,5.3,5.87%
138,5.2,5.76%
139,5,5.54%
140,4.9,5.43%
141,4.8,5.32%
142,4.7,5.20%
143,4.5,4.98%
144,4.4,4.87%
145,4.3,4.76%
146,4.2,4.65%
147,4.1,4.54%
148,3.9,4.32%
149,3.8,4.21%
150,3.7,4.10%
151,3.6,3.99%
152,3.5,3.88%
153,3.4,3.77%
154,3.3,3.65%
155,3.1,3.43%
156,3,3.32%
157,2.9,3.21%
158,2.8,3.10%
159,2.7,2.99%
160,2.6,2.88%
161,2.5,2.77%
162,2.4,2.66%
163,2.3,2.55%
164,2.2,2.44%
165,2.1,2.33%
166,2,2.21%
167,1.9,2.10%
168,1.8,1.99%
169,1.7,1.88%
170,1.6,1.77%
171,1.4,1.55%
172,1.3,1.44%
173,1.2,1.33%
174,1.1,1.22%
175,1,1.11%
176,1,1.11%
177,1,1.00%
178,1,0.89%
179,1,0.78%
180,1,0.66%
181,1,0.63%
182,1,0.60%
183,1,0.57%
184,1,0.54%
185,1,0.51%
186,1,0.49%
187,1,0.46%
188,1,0.44%
189,1,0.42%
190,1,0.40%
191,1,0.38%
192,1,0.36%
193,1,0.34%
194,1,0.32%
195,1,0.31%
196,1,0.29%
197,1,0.28%
198,1,0.26%
199,1,0.25%
200,1,0.24%
201,1,0.22%
202,1,0.21%
203,1,0.20%
204,1,0.19%
205,1,0.18%
206,1,0.17%
207,1,0.17%
208,1,0.16%
209,1,0.15%
210,1,0.14%
211,1,0.13%
212,1,0.13%
213,1,0.12%
214,1,0.12%
215,1,0.11%
216,1,0.10%
217,1,0.10%
218,1,0.09%
219,1,0.09%
220,1,0.08%
221,1,0.08%
222,1,0.08%
223,1,0.07%
224,1,0.07%
225,1,0.07%
226,1,0.06%
227,1,0.06%
228,1,0.06%
229,1,0.05%
230,1,0.05%
231,1,0.05%
232,1,0.05%
233,1,0.04%
234,1,0.04%
235,1,0.04%
236,1,0.04%
237,1,0.04%
238,1,0.03%
239,1,0.03%
240,1,0.03%
241,1,0.03%
242,1,0.03%
243,1,0.03%
244,1,0.02%
245,1,0.02%
246,1,0.02%
247,1,0.02%
248,1,0.02%
249,1,0.02%
250,1,0.02%
251,1,0.02%
252,1,0.02%
253,1,0.02%
254,1,0.01%
255,1,0.01%
256,1,0.01%
257,1,0.01%
258,1,0.01%
259,1,0.01%
260,1,0.01%
261,1,0.01%
262,1,0.01%
263,1,0.01%
264,1,0.01%
265,1,0.01%
266,1,0.01%
267,1,0.01%
268,1,0.01%
269,1,0.01%
270,1,0.01%
271,1,0.01%
272,1,0.01%
273,1,0.01%
274,1,0.01%
275,1,0.01%
276,1,0.00%
277,1,0.00%
278,1,0.00%
279,1,0.00%
280,1,0.00%
281,1,0.00%
282,1,0.00%
283,1,0.00%
284,1,0.00%
285,1,0.00%
286,1,0.00%
287,1,0.00%
288,1,0.00%
289,1,0.00%
290,1,0.00%
291,1,0.00%
292,1,0.00%
293,1,0.00%
294,1,0.00%
295,1,0.00%
296,1,0.00%
297,1,0.00%
298,1,0.00%
299,1,0.00%
300,1,0.00%
301,1,0.00%
302,1,0.00%
303,1,0.00%
304,1,0.00%
305,1,0.00%
306,1,0.00%
307,1,0.00%
308,1,0.00%
309,1,0.00%
310,1,0.00%
311,1,0.00%
312,1,0.00%
313,1,0.00%
314,1,0.00%
315,1,0.00%
316,1,0.00%
317,1,0.00%
318,1,0.00%
319,1,0.00%
320,1,0.00%
321,1,0.00%
322,1,0.00%
323,1,0.00%
324,1,0.00%
325,1,0.00%
326,1,0.00%
327,1,0.00%
328,1,0.00%
329,1,0.00%
330,1,0.00%
331,1,0.00%
332,1,0.00%
333,1,0.00%
334,1,0.00%
335,1,0.00%
336,1,0.00%
337,1,0.00%
338,1,0.00%
339,1,0.00%
340,1,0.00%
341,1,0.00%
342,1,0.00%
343,1,0.00%
344,1,0.00%
345,1,0.00%
346,1,0.00%
347,1,0.00%
348,1,0.00%
349,0.95,0.00%
350,0.9025,0.00%
